(86.6025,-50.0)
(80.829,-46.6667)
(75.0555,-43.3334)
(69.282,-40.0001)
(63.5085,-36.6668)
(57.735,-33.3335)
(51.9615,-30.0002)
(46.188,-26.6669)
(40.4145,-23.3336)
(34.641,-20.0003)
(28.8675,-16.667)
(23.094,-13.3337)
(17.3205,-10.0004)
(11.547,-6.6671)
(5.7735,-3.3338)
(-0.0,-0.0005)
(-5.7735,3.3328)
(-11.547,6.6661)
(-17.3205,9.9994)
(-23.094,13.3327)
(-28.8675,16.666)
(-34.641,19.9993)
(-40.4145,23.3326)
(-46.188,26.6659)
(-51.9615,29.9992)
(-57.735,33.3325)
(-63.5085,36.6658)
(-69.282,39.9991)
(-75.0555,43.3324)
(-80.829,46.6657)
(-86.6025,49.999)
